Sigla;Código;Município;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;Região;Microrregião
SC;4206207;Gravatal;3322,48255;3300,099902;2958,0311;2906,69387;3268,964687;2961,971991;3009,204352;2954,027375;3763,905882;4133,321669;5424,798943;3985,008149;SUL;Tubarão
SC;4206306;Guabiruba;5620,292723;5825,81193;5854,483577;5970,206175;5905,457339;6754,05808;7283,092322;8686,027565;9356,821509;9247,001819;10074,83708;10972,79338;SUL;Blumenau
SC;4206405;Guaraciaba;4314,436572;4541,468067;4778,805901;4600,37067;5534,135817;6144,647167;6356,982083;5750,498725;5891,761662;6445,260396;6186,884338;6095,338848;SUL;São Miguel do Oeste
SC;4206504;Guaramirim;15094,12092;14775,81089;13601,60294;11166,51797;12034,14548;13227,69864;13637,98925;14546,87604;17563,30857;18679,63391;20112,41865;18497,25924;SUL;Joinville
SC;4206603;Guarujá do Sul;4023,420491;3950,462767;4827,958532;4786,888562;5762,508692;5890,216268;5425,414141;6336,502504;7705,415669;10382,3786;9715,963182;6998,95682;SUL;São Miguel do Oeste
SC;4206652;Guatambú;3645,57485;4563,614768;4182,791686;4573,615861;5529,266595;7939,45484;9141,316443;9921,103961;12932,51288;16341,85397;12065,31203;12874,88836;SUL;Chapecó
SC;4206702;Herval d'Oeste;6721,244083;7010,075285;7295,690307;6537,960811;7079,098395;7178,440898;7051,387357;7353,876529;8123,304602;8180,247359;8159,20605;7308,590525;SUL;Joaçaba
SC;4206751;Ibiam;4172,198949;4725,931507;4351,24967;4200,116643;5210,259583;5447,370188;5779,785419;4940,342577;5882,669674;7385,762865;5773,624894;5338,345197;SUL;Joaçaba
SC;4206801;Ibicaré;4850,20135;5102,530364;5481,599389;5793,166028;6596,689603;6331,818547;6019,819689;5377,109805;6182,171468;7002,919492;6537,053974;6336,865644;SUL;Joaçaba
SC;4206900;Ibirama;6990,308142;7936,62059;6346,877102;5693,162575;5637,651498;5903,242649;5636,913822;5522,716098;5813,522667;5791,339973;5815,966319;6492,473511;SUL;Rio do Sul
